forecast_period_date,predicted_value,lower_80,upper_80,lower_95,upper_95,scenario,region_id,treatment_id,part_id,model_id,horizon_months,training_end_date,model_params,region_code,model_name
2026-01-31,787624.51,732164.17,843084.85,702805.23,872443.78,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-02-28,797699.74,721990.07,873409.41,681911.79,913487.69,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-03-31,796191.4,702430.62,889952.17,652796.67,939586.13,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-04-30,806116.98,699055.46,913178.5,642380.51,969853.45,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-05-31,797576.88,677136.53,918017.24,613379.25,981774.51,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-06-30,811629.48,680515.59,942743.38,611108.08,1012150.89,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-07-31,800188.11,657989.85,942386.37,582714.64,1017661.58,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-08-31,814141.48,662753.93,965529.04,582614.2,1045668.77,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-09-30,798972.16,637930.04,960014.28,552679.49,1045264.83,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-10-31,802494.44,633248.05,971740.83,543654.43,1061334.46,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-11-30,771764.91,593864.34,949665.48,499689.47,1043840.35,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-12-31,794608.73,609218.77,979998.7,511079.25,1078138.21,base,1,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Q71,ARIMA
2026-01-31,1001919.79,980715.78,1023123.81,969491.05,1034348.53,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-02-28,1002015.8,966246.3,1037785.3,947311.07,1056720.53,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-03-31,1007991.55,959308.13,1056674.98,933536.69,1082446.42,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-04-30,1002410.72,942238.59,1062582.85,910385.39,1094436.06,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-05-31,996019.25,925558.17,1066480.32,888258.33,1103780.16,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-06-30,1003158.23,923395.2,1082921.25,881171.21,1125145.25,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-07-31,1007346.31,919088.0,1095604.63,872366.87,1142325.76,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-08-31,1009181.07,913088.9,1105273.24,862220.78,1156141.36,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-09-30,1004523.17,901144.09,1107902.24,846418.51,1162627.82,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-10-31,1001395.9,891187.17,1111604.63,832846.2,1169945.6,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-11-30,990666.8,874015.26,1107318.35,812263.66,1169069.94,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-12-31,986493.67,863730.46,1109256.88,798743.54,1174243.8,base,6,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y58,ARIMA
2026-01-31,1052921.92,1024641.53,1081202.3,1009670.8,1096173.04,base,7,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y59,ARIMA
2026-02-28,1049111.54,1003417.89,1094805.2,979229.13,1118993.96,base,7,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y59,ARIMA
2026-03-31,1042000.21,979551.28,1104449.14,946492.81,1137507.61,base,7,19,3,1,12,2025-12-01 00:00:00,"{""model"": ""ARIMA""}",Y59,ARIMA
