forecast_period_date,region_code,region_name,model_name,scenario,predicted_value,lower_80,upper_80,lower_95,upper_95,training_end_date
2026-01-31,Q71,NHS England London,ARIMA,demand_plus10,787624.51,732164.17,843084.85,702805.23,872443.78,2025-12-01
2026-01-31,Q71,NHS England London,ARIMA,base,787624.51,732164.17,843084.85,702805.23,872443.78,2025-12-01
2026-01-31,Q71,NHS England London,ARIMA,demand_minus10,787624.51,732164.17,843084.85,702805.23,872443.78,2025-12-01
2026-01-31,Y58,NHS England South East,ARIMA,demand_plus10,1001919.79,980715.78,1023123.81,969491.05,1034348.53,2025-12-01
2026-01-31,Y58,NHS England South East,ARIMA,demand_minus10,1001919.79,980715.78,1023123.81,969491.05,1034348.53,2025-12-01
2026-01-31,Y58,NHS England South East,ARIMA,base,1001919.79,980715.78,1023123.81,969491.05,1034348.53,2025-12-01
2026-01-31,Y59,NHS England South West,ARIMA,demand_plus10,1052921.92,1024641.53,1081202.30,1009670.80,1096173.04,2025-12-01
2026-01-31,Y59,NHS England South West,ARIMA,base,1052921.92,1024641.53,1081202.30,1009670.80,1096173.04,2025-12-01
2026-01-31,Y59,NHS England South West,ARIMA,demand_minus10,1052921.92,1024641.53,1081202.30,1009670.80,1096173.04,2025-12-01
2026-01-31,Y60,NHS England North East and Yorkshire,ARIMA,demand_plus10,770114.97,728096.46,812133.49,705853.20,834376.74,2025-12-01
2026-01-31,Y60,NHS England North East and Yorkshire,ARIMA,demand_minus10,770114.97,728096.46,812133.49,705853.20,834376.74,2025-12-01
2026-01-31,Y60,NHS England North East and Yorkshire,ARIMA,base,770114.97,728096.46,812133.49,705853.20,834376.74,2025-12-01
2026-01-31,Y61,NHS England Midlands,ARIMA,base,1849258.79,1787869.13,1910648.45,1755371.41,1943146.18,2025-12-01
2026-01-31,Y61,NHS England Midlands,ARIMA,demand_minus10,1849258.79,1787869.13,1910648.45,1755371.41,1943146.18,2025-12-01
2026-01-31,Y61,NHS England Midlands,ARIMA,demand_plus10,1849258.79,1787869.13,1910648.45,1755371.41,1943146.18,2025-12-01
2026-01-31,Y62,NHS England East of England,ARIMA,demand_minus10,909906.68,890422.57,929390.79,880108.30,939705.06,2025-12-01
2026-01-31,Y62,NHS England East of England,ARIMA,demand_plus10,909906.68,890422.57,929390.79,880108.30,939705.06,2025-12-01
2026-01-31,Y62,NHS England East of England,ARIMA,base,909906.68,890422.57,929390.79,880108.30,939705.06,2025-12-01
2026-01-31,Y63,NHS England North West,ARIMA,base,877556.58,811587.17,943525.99,776665.08,978448.09,2025-12-01
2026-01-31,Y63,NHS England North West,ARIMA,demand_minus10,877556.58,811587.17,943525.99,776665.08,978448.09,2025-12-01
2026-01-31,Y63,NHS England North West,ARIMA,demand_plus10,877556.58,811587.17,943525.99,776665.08,978448.09,2025-12-01
2026-02-28,Q71,NHS England London,ARIMA,demand_plus10,797699.74,721990.07,873409.41,681911.79,913487.69,2025-12-01
2026-02-28,Q71,NHS England London,ARIMA,demand_minus10,797699.74,721990.07,873409.41,681911.79,913487.69,2025-12-01
2026-02-28,Q71,NHS England London,ARIMA,base,797699.74,721990.07,873409.41,681911.79,913487.69,2025-12-01
2026-02-28,Y58,NHS England South East,ARIMA,demand_minus10,1002015.80,966246.30,1037785.30,947311.07,1056720.53,2025-12-01
2026-02-28,Y58,NHS England South East,ARIMA,base,1002015.80,966246.30,1037785.30,947311.07,1056720.53,2025-12-01
2026-02-28,Y58,NHS England South East,ARIMA,demand_plus10,1002015.80,966246.30,1037785.30,947311.07,1056720.53,2025-12-01
2026-02-28,Y59,NHS England South West,ARIMA,demand_plus10,1049111.54,1003417.89,1094805.20,979229.13,1118993.96,2025-12-01
2026-02-28,Y59,NHS England South West,ARIMA,demand_minus10,1049111.54,1003417.89,1094805.20,979229.13,1118993.96,2025-12-01
2026-02-28,Y59,NHS England South West,ARIMA,base,1049111.54,1003417.89,1094805.20,979229.13,1118993.96,2025-12-01
2026-02-28,Y60,NHS England North East and Yorkshire,ARIMA,demand_minus10,767459.73,713083.66,821835.80,684298.71,850620.75,2025-12-01
2026-02-28,Y60,NHS England North East and Yorkshire,ARIMA,demand_plus10,767459.73,713083.66,821835.80,684298.71,850620.75,2025-12-01
2026-02-28,Y60,NHS England North East and Yorkshire,ARIMA,base,767459.73,713083.66,821835.80,684298.71,850620.75,2025-12-01
2026-02-28,Y61,NHS England Midlands,ARIMA,demand_plus10,1835223.89,1728170.98,1942276.80,1671500.59,1998947.18,2025-12-01
2026-02-28,Y61,NHS England Midlands,ARIMA,demand_minus10,1835223.89,1728170.98,1942276.80,1671500.59,1998947.18,2025-12-01
2026-02-28,Y61,NHS England Midlands,ARIMA,base,1835223.89,1728170.98,1942276.80,1671500.59,1998947.18,2025-12-01
2026-02-28,Y62,NHS England East of England,ARIMA,base,912837.88,884356.90,941318.86,869279.98,956395.78,2025-12-01
2026-02-28,Y62,NHS England East of England,ARIMA,demand_plus10,912837.88,884356.90,941318.86,869279.98,956395.78,2025-12-01
2026-02-28,Y62,NHS England East of England,ARIMA,demand_minus10,912837.88,884356.90,941318.86,869279.98,956395.78,2025-12-01
2026-02-28,Y63,NHS England North West,ARIMA,demand_minus10,871301.28,782636.86,959965.69,735700.76,1006901.79,2025-12-01
2026-02-28,Y63,NHS England North West,ARIMA,demand_plus10,871301.28,782636.86,959965.69,735700.76,1006901.79,2025-12-01
2026-02-28,Y63,NHS England North West,ARIMA,base,871301.28,782636.86,959965.69,735700.76,1006901.79,2025-12-01
2026-03-31,Q71,NHS England London,ARIMA,base,796191.40,702430.62,889952.17,652796.67,939586.13,2025-12-01
2026-03-31,Q71,NHS England London,ARIMA,demand_plus10,796191.40,702430.62,889952.17,652796.67,939586.13,2025-12-01
2026-03-31,Q71,NHS England London,ARIMA,demand_minus10,796191.40,702430.62,889952.17,652796.67,939586.13,2025-12-01
2026-03-31,Y58,NHS England South East,ARIMA,demand_plus10,1007991.55,959308.13,1056674.98,933536.69,1082446.42,2025-12-01
2026-03-31,Y58,NHS England South East,ARIMA,base,1007991.55,959308.13,1056674.98,933536.69,1082446.42,2025-12-01
2026-03-31,Y58,NHS England South East,ARIMA,demand_minus10,1007991.55,959308.13,1056674.98,933536.69,1082446.42,2025-12-01
2026-03-31,Y59,NHS England South West,ARIMA,demand_minus10,1042000.21,979551.28,1104449.14,946492.81,1137507.61,2025-12-01
2026-03-31,Y59,NHS England South West,ARIMA,demand_plus10,1042000.21,979551.28,1104449.14,946492.81,1137507.61,2025-12-01
2026-03-31,Y59,NHS England South West,ARIMA,base,1042000.21,979551.28,1104449.14,946492.81,1137507.61,2025-12-01
2026-03-31,Y60,NHS England North East and Yorkshire,ARIMA,base,772265.48,710436.32,834094.64,677705.94,866825.03,2025-12-01
2026-03-31,Y60,NHS England North East and Yorkshire,ARIMA,demand_minus10,772265.48,710436.32,834094.64,677705.94,866825.03,2025-12-01
2026-03-31,Y60,NHS England North East and Yorkshire,ARIMA,demand_plus10,772265.48,710436.32,834094.64,677705.94,866825.03,2025-12-01
2026-03-31,Y61,NHS England Midlands,ARIMA,demand_plus10,1839128.87,1689757.68,1988500.05,1610685.36,2067572.38,2025-12-01
2026-03-31,Y61,NHS England Midlands,ARIMA,base,1839128.87,1689757.68,1988500.05,1610685.36,2067572.38,2025-12-01
2026-03-31,Y61,NHS England Midlands,ARIMA,demand_minus10,1839128.87,1689757.68,1988500.05,1610685.36,2067572.38,2025-12-01
2026-03-31,Y62,NHS England East of England,ARIMA,demand_plus10,924769.54,888824.20,960714.88,869795.89,979743.20,2025-12-01
2026-03-31,Y62,NHS England East of England,ARIMA,demand_minus10,924769.54,888824.20,960714.88,869795.89,979743.20,2025-12-01
2026-03-31,Y62,NHS England East of England,ARIMA,base,924769.54,888824.20,960714.88,869795.89,979743.20,2025-12-01
2026-03-31,Y63,NHS England North West,ARIMA,demand_minus10,871781.25,762023.94,981538.55,703921.93,1039640.56,2025-12-01
2026-03-31,Y63,NHS England North West,ARIMA,demand_plus10,871781.25,762023.94,981538.55,703921.93,1039640.56,2025-12-01
2026-03-31,Y63,NHS England North West,ARIMA,base,871781.25,762023.94,981538.55,703921.93,1039640.56,2025-12-01
2026-04-30,Q71,NHS England London,ARIMA,demand_plus10,806116.98,699055.46,913178.50,642380.51,969853.45,2025-12-01
2026-04-30,Q71,NHS England London,ARIMA,base,806116.98,699055.46,913178.50,642380.51,969853.45,2025-12-01
2026-04-30,Q71,NHS England London,ARIMA,demand_minus10,806116.98,699055.46,913178.50,642380.51,969853.45,2025-12-01
2026-04-30,Y58,NHS England South East,ARIMA,demand_plus10,1002410.72,942238.59,1062582.85,910385.39,1094436.06,2025-12-01
2026-04-30,Y58,NHS England South East,ARIMA,demand_minus10,1002410.72,942238.59,1062582.85,910385.39,1094436.06,2025-12-01
2026-04-30,Y58,NHS England South East,ARIMA,base,1002410.72,942238.59,1062582.85,910385.39,1094436.06,2025-12-01
2026-04-30,Y59,NHS England South West,ARIMA,demand_plus10,1043482.40,964458.24,1122506.56,922625.38,1164339.42,2025-12-01
2026-04-30,Y59,NHS England South West,ARIMA,base,1043482.40,964458.24,1122506.56,922625.38,1164339.42,2025-12-01
2026-04-30,Y59,NHS England South West,ARIMA,demand_minus10,1043482.40,964458.24,1122506.56,922625.38,1164339.42,2025-12-01
2026-04-30,Y60,NHS England North East and Yorkshire,ARIMA,demand_minus10,770893.04,703825.53,837960.55,668322.14,873463.95,2025-12-01
2026-04-30,Y60,NHS England North East and Yorkshire,ARIMA,base,770893.04,703825.53,837960.55,668322.14,873463.95,2025-12-01
2026-04-30,Y60,NHS England North East and Yorkshire,ARIMA,demand_plus10,770893.04,703825.53,837960.55,668322.14,873463.95,2025-12-01
2026-04-30,Y61,NHS England Midlands,ARIMA,demand_minus10,1844858.12,1656664.66,2033051.59,1557041.06,2132675.19,2025-12-01
2026-04-30,Y61,NHS England Midlands,ARIMA,demand_plus10,1844858.12,1656664.66,2033051.59,1557041.06,2132675.19,2025-12-01
2026-04-30,Y61,NHS England Midlands,ARIMA,base,1844858.12,1656664.66,2033051.59,1557041.06,2132675.19,2025-12-01
2026-04-30,Y62,NHS England East of England,ARIMA,demand_plus10,922417.49,879761.85,965073.12,857181.32,987653.65,2025-12-01
2026-04-30,Y62,NHS England East of England,ARIMA,base,922417.49,879761.85,965073.12,857181.32,987653.65,2025-12-01
2026-04-30,Y62,NHS England East of England,ARIMA,demand_minus10,922417.49,879761.85,965073.12,857181.32,987653.65,2025-12-01
2026-04-30,Y63,NHS England North West,ARIMA,demand_minus10,867988.77,742770.42,993207.11,676483.83,1059493.70,2025-12-01
2026-04-30,Y63,NHS England North West,ARIMA,demand_plus10,867988.77,742770.42,993207.11,676483.83,1059493.70,2025-12-01
2026-04-30,Y63,NHS England North West,ARIMA,base,867988.77,742770.42,993207.11,676483.83,1059493.70,2025-12-01
2026-05-31,Q71,NHS England London,ARIMA,base,797576.88,677136.53,918017.24,613379.25,981774.51,2025-12-01
2026-05-31,Q71,NHS England London,ARIMA,demand_plus10,797576.88,677136.53,918017.24,613379.25,981774.51,2025-12-01
2026-05-31,Q71,NHS England London,ARIMA,demand_minus10,797576.88,677136.53,918017.24,613379.25,981774.51,2025-12-01
2026-05-31,Y58,NHS England South East,ARIMA,demand_plus10,996019.25,925558.17,1066480.32,888258.33,1103780.16,2025-12-01
2026-05-31,Y58,NHS England South East,ARIMA,demand_minus10,996019.25,925558.17,1066480.32,888258.33,1103780.16,2025-12-01
2026-05-31,Y58,NHS England South East,ARIMA,base,996019.25,925558.17,1066480.32,888258.33,1103780.16,2025-12-01
2026-05-31,Y59,NHS England South West,ARIMA,demand_plus10,1040591.29,945124.62,1136057.95,894587.62,1186594.95,2025-12-01
2026-05-31,Y59,NHS England South West,ARIMA,base,1040591.29,945124.62,1136057.95,894587.62,1186594.95,2025-12-01
2026-05-31,Y59,NHS England South West,ARIMA,demand_minus10,1040591.29,945124.62,1136057.95,894587.62,1186594.95,2025-12-01
2026-05-31,Y60,NHS England North East and Yorkshire,ARIMA,demand_plus10,777651.93,706536.39,848767.47,668890.10,886413.76,2025-12-01
2026-05-31,Y60,NHS England North East and Yorkshire,ARIMA,base,777651.93,706536.39,848767.47,668890.10,886413.76,2025-12-01
