period_date,year,month,month_name,year_month,quarter,is_pre_covid,is_covid_period,is_post_covid,covid_dummy,region_code,region_name,region_short,treatment_code,treatment_name,specialty_group,part_type,part_description,waiting_list_size,patients_within_18wks,patients_over_18wks,pct_within_18wks,waiting_over_52wks,total_patients,provider_count,commissioner_count
2019-01-01,2019,1,January  ,2019-01,1,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,827637,708745,118892,85.6348,613,,46,197
2019-01-01,2019,1,January  ,2019-01,1,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,638248,546232,92016,85.5830,315,,75,195
2019-01-01,2019,1,January  ,2019-01,1,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,349636,297479,52157,85.0825,658,,56,183
2019-01-01,2019,1,January  ,2019-01,1,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,644609,570687,73922,88.5323,288,,66,196
2019-01-01,2019,1,January  ,2019-01,1,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,851355,747553,103802,87.8074,199,,82,197
2019-01-01,2019,1,January  ,2019-01,1,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,293841,250927,42914,85.3955,48,,34,182
2019-01-01,2019,1,January  ,2019-01,1,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,584300,511340,72960,87.5133,122,,63,191
2019-02-01,2019,2,February ,2019-02,1,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,766804,667189,99615,87.0091,620,,45,197
2019-02-01,2019,2,February ,2019-02,1,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,642348,549834,92514,85.5975,230,,75,196
2019-02-01,2019,2,February ,2019-02,1,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,355095,301099,53996,84.7939,582,,56,187
2019-02-01,2019,2,February ,2019-02,1,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,651254,575309,75945,88.3387,273,,66,194
2019-02-01,2019,2,February ,2019-02,1,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,854785,750470,104315,87.7963,150,,82,197
2019-02-01,2019,2,February ,2019-02,1,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,295677,252286,43391,85.3249,41,,34,183
2019-02-01,2019,2,February ,2019-02,1,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,594700,521227,73473,87.6454,115,,63,192
2019-03-01,2019,3,March    ,2019-03,1,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,774908,671092,103816,86.6028,330,,45,197
2019-03-01,2019,3,March    ,2019-03,1,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,636387,545591,90796,85.7326,172,,75,192
2019-03-01,2019,3,March    ,2019-03,1,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,416205,348901,67304,83.8291,389,,57,184
2019-03-01,2019,3,March    ,2019-03,1,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,653506,576690,76816,88.2456,134,,66,197
2019-03-01,2019,3,March    ,2019-03,1,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,863381,756796,106585,87.6549,31,,81,196
2019-03-01,2019,3,March    ,2019-03,1,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,303249,258847,44402,85.3579,6,,35,181
2019-03-01,2019,3,March    ,2019-03,1,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,601678,525217,76461,87.2920,99,,63,190
2019-04-01,2019,4,April    ,2019-04,2,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,790866,683142,107724,86.3790,327,,45,193
2019-04-01,2019,4,April    ,2019-04,2,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,642003,551129,90874,85.8452,133,,74,190
2019-04-01,2019,4,April    ,2019-04,2,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,421446,351739,69707,83.4600,372,,57,180
2019-04-01,2019,4,April    ,2019-04,2,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,663605,582984,80621,87.8511,105,,65,192
2019-04-01,2019,4,April    ,2019-04,2,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,749470,654993,94477,87.3942,21,,72,193
2019-04-01,2019,4,April    ,2019-04,2,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,436702,376348,60354,86.1796,17,,47,181
2019-04-01,2019,4,April    ,2019-04,2,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,611363,532099,79264,87.0349,80,,65,189
2019-05-01,2019,5,May      ,2019-05,2,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,802468,695593,106875,86.6817,353,,45,193
2019-05-01,2019,5,May      ,2019-05,2,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,651693,562269,89424,86.2782,129,,74,191
2019-05-01,2019,5,May      ,2019-05,2,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,428625,360334,68291,84.0674,362,,57,180
2019-05-01,2019,5,May      ,2019-05,2,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,677063,597619,79444,88.2664,95,,65,190
2019-05-01,2019,5,May      ,2019-05,2,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,764135,670618,93517,87.7617,32,,72,192
2019-05-01,2019,5,May      ,2019-05,2,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,450542,387671,62871,86.0455,25,,46,185
2019-05-01,2019,5,May      ,2019-05,2,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,627769,548390,79379,87.3554,49,,66,185
2019-06-01,2019,6,June     ,2019-06,2,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,805545,690907,114638,85.7689,351,,45,193
2019-06-01,2019,6,June     ,2019-06,2,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,652991,560233,92758,85.7949,110,,73,189
2019-06-01,2019,6,June     ,2019-06,2,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,429108,359787,69321,83.8453,410,,57,181
2019-06-01,2019,6,June     ,2019-06,2,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,678954,595376,83578,87.6902,96,,65,190
2019-06-01,2019,6,June     ,2019-06,2,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,766229,668010,98219,87.1815,41,,72,191
2019-06-01,2019,6,June     ,2019-06,2,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,451655,386789,64866,85.6382,68,,46,186
2019-06-01,2019,6,June     ,2019-06,2,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,627336,545966,81370,87.0293,41,,66,186
2019-07-01,2019,7,July     ,2019-07,3,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,804783,685111,119672,85.1299,298,,46,193
2019-07-01,2019,7,July     ,2019-07,3,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,651031,554773,96258,85.2145,101,,71,191
2019-07-01,2019,7,July     ,2019-07,3,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,434142,362979,71163,83.6084,426,,57,184
2019-07-01,2019,7,July     ,2019-07,3,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,683128,596661,86467,87.3425,109,,65,190
2019-07-01,2019,7,July     ,2019-07,3,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,765503,663767,101736,86.7099,100,,71,193
2019-07-01,2019,7,July     ,2019-07,3,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,419296,354995,64301,84.6645,62,,45,185
2019-07-01,2019,7,July     ,2019-07,3,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,632023,547244,84779,86.5861,23,,65,190
2019-08-01,2019,8,August   ,2019-08,3,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,799621,674959,124662,84.4099,379,,46,193
2019-08-01,2019,8,August   ,2019-08,3,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,659461,556204,103257,84.3422,120,,71,193
2019-08-01,2019,8,August   ,2019-08,3,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,438333,362156,76177,82.6212,518,,57,183
2019-08-01,2019,8,August   ,2019-08,3,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,686530,592916,93614,86.3642,112,,66,190
2019-08-01,2019,8,August   ,2019-08,3,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,773543,665019,108524,85.9705,145,,71,192
2019-08-01,2019,8,August   ,2019-08,3,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,425184,357264,67920,84.0257,68,,46,183
2019-08-01,2019,8,August   ,2019-08,3,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,642788,551119,91669,85.7388,27,,67,189
2019-09-01,2019,9,September,2019-09,3,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,801133,677704,123429,84.5932,420,,46,193
2019-09-01,2019,9,September,2019-09,3,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,659346,555215,104131,84.2069,148,,71,193
2019-09-01,2019,9,September,2019-09,3,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,443317,363980,79337,82.1038,509,,57,183
2019-09-01,2019,9,September,2019-09,3,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,686441,591089,95352,86.1092,107,,67,191
2019-09-01,2019,9,September,2019-09,3,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,776934,667520,109414,85.9172,170,,71,193
2019-09-01,2019,9,September,2019-09,3,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,426129,354414,71715,83.1706,78,,46,186
2019-09-01,2019,9,September,2019-09,3,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,642159,549672,92487,85.5975,42,,67,187
2019-10-01,2019,10,October  ,2019-10,4,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,805496,679756,125740,84.3897,407,,47,193
2019-10-01,2019,10,October  ,2019-10,4,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,664425,559895,104530,84.2676,170,,71,191
2019-10-01,2019,10,October  ,2019-10,4,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,446138,365796,80342,81.9917,494,,57,181
2019-10-01,2019,10,October  ,2019-10,4,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,690917,595652,95265,86.2118,88,,67,191
2019-10-01,2019,10,October  ,2019-10,4,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,786121,675738,110383,85.9585,182,,71,193
2019-10-01,2019,10,October  ,2019-10,4,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,428731,354303,74428,82.6399,105,,46,186
2019-10-01,2019,10,October  ,2019-10,4,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,642207,547307,94900,85.2228,58,,66,191
2019-11-01,2019,11,November ,2019-11,4,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,805344,677809,127535,84.1639,437,,47,193
2019-11-01,2019,11,November ,2019-11,4,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,651889,548015,103874,84.0657,169,,70,192
2019-11-01,2019,11,November ,2019-11,4,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,442184,361430,80754,81.7375,475,,58,185
2019-11-01,2019,11,November ,2019-11,4,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,682848,587137,95711,85.9836,105,,68,192
2019-11-01,2019,11,November ,2019-11,4,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,784961,672302,112659,85.6478,172,,71,193
2019-11-01,2019,11,November ,2019-11,4,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,427610,351515,76095,82.2046,166,,47,186
2019-11-01,2019,11,November ,2019-11,4,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,637388,540090,97298,84.7349,46,,65,191
2019-12-01,2019,12,December ,2019-12,4,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,808699,673016,135683,83.2221,449,,47,193
2019-12-01,2019,12,December ,2019-12,4,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,657696,548811,108885,83.4445,176,,71,193
