period_date,region_code,region_name,treatment_code,treatment_name,specialty_group,part_type,waiting_list_size,pct_within_18wks,waiting_over_52wks
2019-01-01,Q71,NHS England London,C_100,General Surgery,Surgical,Part_2,55387,79.6432,155
2019-01-01,Q71,NHS England London,C_101,Urology,Surgical,Part_2,41783,87.5212,10
2019-01-01,Q71,NHS England London,C_110,Trauma & Orthopaedics,Surgical,Part_2,71354,80.6990,190
2019-01-01,Q71,NHS England London,C_120,Ear Nose & Throat,Surgical,Part_2,53138,81.2883,42
2019-01-01,Q71,NHS England London,C_130,Ophthalmology,Surgical,Part_2,70550,88.9483,39
2019-01-01,Q71,NHS England London,C_140,Oral Surgery,Surgical,Part_2,35114,82.5112,9
2019-01-01,Q71,NHS England London,C_150,Neurosurgery,Surgical,Part_2,9333,84.0244,4
2019-01-01,Q71,NHS England London,C_160,Plastic Surgery,Surgical,Part_2,8526,76.3312,13
2019-01-01,Q71,NHS England London,C_170,Cardiothoracic Surgery,Surgical,Part_2,2037,88.4143,0
2019-01-01,Q71,NHS England London,C_300,General Medicine,Medical,Part_2,5075,91.6650,0
2019-01-01,Q71,NHS England London,C_301,Gastroenterology,Medical,Part_2,41426,84.8573,5
2019-01-01,Q71,NHS England London,C_320,Cardiology,Medical,Part_2,42083,90.4522,1
2019-01-01,Q71,NHS England London,C_330,Dermatology,Medical,Part_2,40380,84.1010,2
2019-01-01,Q71,NHS England London,C_340,Thoracic Medicine,Medical,Part_2,22111,92.3296,1
2019-01-01,Q71,NHS England London,C_400,Neurology,Medical,Part_2,27936,86.0431,2
2019-01-01,Q71,NHS England London,C_410,Rheumatology,Medical,Part_2,16815,89.3785,0
2019-01-01,Q71,NHS England London,C_430,Geriatric Medicine,Medical,Part_2,3225,95.5349,0
2019-01-01,Q71,NHS England London,C_502,Gynaecology,Medical,Part_2,52766,85.7427,8
2019-01-01,Q71,NHS England London,X01,Other,Other,Part_2,228598,87.3914,132
2019-01-01,Y58,NHS England South East,C_100,General Surgery,Surgical,Part_2,58467,85.9339,19
2019-01-01,Y58,NHS England South East,C_101,Urology,Surgical,Part_2,37352,85.9338,64
2019-01-01,Y58,NHS England South East,C_110,Trauma & Orthopaedics,Surgical,Part_2,90112,82.5195,13
2019-01-01,Y58,NHS England South East,C_120,Ear Nose & Throat,Surgical,Part_2,45877,81.9016,9
2019-01-01,Y58,NHS England South East,C_130,Ophthalmology,Surgical,Part_2,73702,84.6761,11
2019-01-01,Y58,NHS England South East,C_140,Oral Surgery,Surgical,Part_2,25319,81.4369,44
2019-01-01,Y58,NHS England South East,C_150,Neurosurgery,Surgical,Part_2,2589,69.1773,1
2019-01-01,Y58,NHS England South East,C_160,Plastic Surgery,Surgical,Part_2,7906,80.9638,58
2019-01-01,Y58,NHS England South East,C_170,Cardiothoracic Surgery,Surgical,Part_2,713,88.4993,0
2019-01-01,Y58,NHS England South East,C_300,General Medicine,Medical,Part_2,4755,94.2587,0
2019-01-01,Y58,NHS England South East,C_301,Gastroenterology,Medical,Part_2,40826,85.2349,6
2019-01-01,Y58,NHS England South East,C_320,Cardiology,Medical,Part_2,27598,91.6588,3
2019-01-01,Y58,NHS England South East,C_330,Dermatology,Medical,Part_2,33457,88.3881,17
2019-01-01,Y58,NHS England South East,C_340,Thoracic Medicine,Medical,Part_2,12468,91.9634,0
2019-01-01,Y58,NHS England South East,C_400,Neurology,Medical,Part_2,19376,83.8873,0
2019-01-01,Y58,NHS England South East,C_410,Rheumatology,Medical,Part_2,12972,86.5942,2
2019-01-01,Y58,NHS England South East,C_430,Geriatric Medicine,Medical,Part_2,2488,95.4582,0
2019-01-01,Y58,NHS England South East,C_502,Gynaecology,Medical,Part_2,39505,84.8880,55
2019-01-01,Y58,NHS England South East,X01,Other,Other,Part_2,102766,88.6441,13
2019-01-01,Y59,NHS England South West,C_100,General Surgery,Surgical,Part_2,26207,83.7906,41
2019-01-01,Y59,NHS England South West,C_101,Urology,Surgical,Part_2,20809,84.9969,49
2019-01-01,Y59,NHS England South West,C_110,Trauma & Orthopaedics,Surgical,Part_2,49555,79.4915,230
2019-01-01,Y59,NHS England South West,C_120,Ear Nose & Throat,Surgical,Part_2,22360,86.5921,12
2019-01-01,Y59,NHS England South West,C_130,Ophthalmology,Surgical,Part_2,40282,83.4690,8
2019-01-01,Y59,NHS England South West,C_140,Oral Surgery,Surgical,Part_2,16927,83.0567,1
